Country,Points,Points_Gained,Active_Judge
Finland,92,65,2
Armenia,73,45,2
Latvia,31,0,2
Ireland,123,90,2
Switzerland,37,0,2
Germany,239,200,2
Bulgaria,79,40,2
Russia,165,125,2
Portugal,45,0,2
Italy,45,0,2
Israel,151,105,2
Czech Republic,52,5,2
United Kingdom,145,95,2
Serbia,61,10,2
Cyprus,52,0,2
Lithuania,174,120,2
Belgium,64,10,2
Romania,56,0,2
Ukraine,57,0,2
Albania,58,0,2
Netherlands,79,20,2
Denmark,184,125,2
Sweden,220,160,2
Belarus,60,0,2
Slovenia,61,0,2
Norway,62,0,2
Malta,432,370,2
Poland,64,0,2
Georgia,79,15,2
Croatia,64,0,2
Iceland,466,400,2
Azerbaijan,92,25,2
Australia,67,0,2
Austria,218,150,2
San Marino,166,95,2
Greece,81,0,2
Moldova,87,0,2
Spain,89,0,2
France,91,0,2
Estonia,93,0,2
North Macedonia,144,50,1
